date,country,fuel,price
2023-05-15,AT,Automotive gas oil,1.49
2023-05-15,AT,Euro-super 95,1.56
2023-05-15,AT,Fuel oil - Sulphur less than 1%,0.71
2023-05-15,AT,Heating gas oil,1.08
2023-05-15,BE,Automotive gas oil,1.66
2023-05-15,BE,Euro-super 95,1.7
2023-05-15,BE,Fuel oil - Sulphur less than 1%,0.43
2023-05-15,BE,Heating gas oil,0.81
2023-05-15,BE,LPG - motor fuel,0.62
2023-05-15,BG,Automotive gas oil,1.25
2023-05-15,BG,Euro-super 95,1.29
2023-05-15,BG,Heating gas oil,1.07
2023-05-15,BG,LPG - motor fuel,0.52
2023-05-15,HR,Automotive gas oil,1.37
2023-05-15,HR,Euro-super 95,1.37
2023-05-15,HR,Fuel oil - Sulphur less than 1%,0.78
2023-05-15,HR,Heating gas oil,0.8
2023-05-15,HR,LPG - motor fuel,0.86
2023-05-15,CY,Automotive gas oil,1.42
2023-05-15,CY,Euro-super 95,1.42
2023-05-15,CY,Fuel oil - Sulphur less than 1%,0.8
2023-05-15,CY,Heating gas oil,1.01
2023-05-15,CZ,Automotive gas oil,1.33
2023-05-15,CZ,Euro-super 95,1.55
2023-05-15,CZ,Heating gas oil,0.88
2023-05-15,CZ,LPG - motor fuel,0.66
2023-05-15,DK,Automotive gas oil,1.55
2023-05-15,DK,Euro-super 95,1.91
2023-05-15,DK,Fuel oil - Sulphur less than 1%,1.31
2023-05-15,DK,Heating gas oil,1.63
2023-05-15,EE,Automotive gas oil,1.5
2023-05-15,EE,Euro-super 95,1.7
2023-05-15,EE,Heating gas oil,1.02
2023-05-15,EE,LPG - motor fuel,0.69
2023-05-15,FI,Automotive gas oil,1.8
2023-05-15,FI,Euro-super 95,1.91
2023-05-15,FI,Heating gas oil,1.36
2023-05-15,FR,Automotive gas oil,1.66
2023-05-15,FR,Euro-super 95,1.86
2023-05-15,FR,Fuel oil - Sulphur less than 1%,0.64
2023-05-15,FR,Heating gas oil,1.14
2023-05-15,FR,LPG - motor fuel,0.98
2023-05-15,DE,Automotive gas oil,1.58
2023-05-15,DE,Euro-super 95,1.84
2023-05-15,DE,Heating gas oil,0.99
2023-05-15,DE,LPG - motor fuel,1.04
2023-05-15,GR,Automotive gas oil,1.54
2023-05-15,GR,Euro-super 95,1.83
2023-05-15,GR,Fuel oil - Sulphur less than 1%,0.67
2023-05-15,GR,Heating gas oil,1.26
2023-05-15,GR,Lead substitute petrol,2.03
2023-05-15,HU,Automotive gas oil,1.48
2023-05-15,HU,Euro-super 95,1.51
2023-05-15,HU,Fuel oil - Sulphur less than 1%,0.84
2023-05-15,HU,Heating gas oil,1.48
2023-05-15,HU,LPG - motor fuel,0.89
2023-05-15,IE,Automotive gas oil,1.49
2023-05-15,IE,Euro-super 95,1.59
2023-05-15,IE,Fuel oil - Sulphur less than 1%,0.93
2023-05-15,IE,Heating gas oil,0.86
2023-05-15,IT,Automotive gas oil,1.65
2023-05-15,IT,Euro-super 95,1.81
2023-05-15,IT,Fuel oil - Sulphur less than 1%,0.6
2023-05-15,IT,Heating gas oil,1.43
2023-05-15,IT,LPG - motor fuel,0.76
2023-05-15,LV,Automotive gas oil,1.41
2023-05-15,LV,Euro-super 95,1.59
2023-05-15,LV,Heating gas oil,0.93
2023-05-15,LV,LPG - motor fuel,0.73
2023-05-15,LT,Automotive gas oil,1.31
2023-05-15,LT,Euro-super 95,1.48
2023-05-15,LT,Fuel oil - Sulphur higher than 1%,0.34
2023-05-15,LT,Heating gas oil,0.78
2023-05-15,LT,LPG - motor fuel,0.58
2023-05-15,LU,Automotive gas oil,1.39
2023-05-15,LU,Euro-super 95,1.55
2023-05-15,LU,Heating gas oil,0.85
2023-05-15,LU,LPG - motor fuel,0.64
2023-05-15,MT,Automotive gas oil,1.21
2023-05-15,MT,Euro-super 95,1.34
2023-05-15,MT,Heating gas oil,1.0
2023-05-15,NL,Automotive gas oil,1.5
2023-05-15,NL,Euro-super 95,1.8
2023-05-15,NL,LPG - motor fuel,0.77
2023-05-15,PL,Automotive gas oil,1.36
2023-05-15,PL,Euro-super 95,1.44
2023-05-15,PL,Fuel oil - Sulphur higher than 1%,0.52
2023-05-15,PL,Fuel oil - Sulphur less than 1%,0.58
2023-05-15,PL,Heating gas oil,1.09
2023-05-15,PL,LPG - motor fuel,0.67
2023-05-15,PT,Automotive gas oil,1.42
2023-05-15,PT,Euro-super 95,1.64
2023-05-15,PT,Fuel oil - Sulphur less than 1%,0.86
2023-05-15,PT,Heating gas oil,1.42
2023-05-15,PT,LPG - motor fuel,0.78
2023-05-15,RO,Automotive gas oil,1.37
2023-05-15,RO,Euro-super 95,1.36
2023-05-15,RO,Fuel oil - Sulphur less than 1%,0.61
2023-05-15,RO,Heating gas oil,1.27
2023-05-15,RO,LPG - motor fuel,0.87
2023-05-15,SK,Automotive gas oil,1.41
2023-05-15,SK,Euro-super 95,1.52
2023-05-15,SK,Fuel oil - Sulphur higher than 1%,0.62
2023-05-15,SK,Fuel oil - Sulphur less than 1%,0.63
2023-05-15,SK,LPG - motor fuel,0.7
2023-05-15,SI,Automotive gas oil,1.46
2023-05-15,SI,Euro-super 95,1.42
2023-05-15,SI,Heating gas oil,1.04
2023-05-15,SI,LPG - motor fuel,0.89
2023-05-15,ES,Automotive gas oil,1.41
2023-05-15,ES,Euro-super 95,1.58
2023-05-15,ES,Fuel oil - Sulphur less than 1%,0.57
2023-05-15,ES,Heating gas oil,0.92
2023-05-15,ES,LPG - motor fuel,0.95
2023-05-15,SE,Automotive gas oil,1.84
2023-05-15,SE,Euro-super 95,1.69
2023-05-15,SE,Fuel oil - Sulphur less than 1%,0.89
2023-05-15,SE,Heating gas oil,1.17
